index,x,y
296,627719.449015,-672129.302962
297,627737.110574,-672111.785367
298,627754.641178,-672094.133619
299,627772.038034,-672076.345388
300,627789.298386,-672058.418302
301,627806.419525,-672040.349945
302,627823.398791,-672022.137849
303,627840.233578,-672003.779492
304,627856.92134,-671985.272292
305,627873.459598,-671966.613603
306,627889.845951,-671947.800709
307,627906.078236,-671928.830868
308,627922.15381,-671909.703477
309,627938.072112,-671890.422418
310,627953.833296,-671870.992304
311,627969.43758,-671851.41762
312,627984.885272,-671831.702734
313,628000.17677,-671811.851897
314,628015.397756,-671791.934206
315,628030.484223,-671771.901597
316,628045.412838,-671751.739489
317,628060.184132,-671731.451664
318,628074.798711,-671711.041763
319,628089.257241,-671690.513283
320,628103.560457,-671669.869571
321,628118.188567,-671649.431153
322,628132.10618,-671628.509568
323,628145.866627,-671607.481242
324,628159.47086,-671586.349034
325,628172.919879,-671565.115629
326,628186.214729,-671543.783532
327,628199.35649,-671522.355067
328,628212.345725,-671500.832055
329,628225.176571,-671479.212582
330,628237.838861,-671457.492571
331,628250.322159,-671435.668189
332,628262.61583,-671413.735888
333,628274.709054,-671391.692429
334,628286.590829,-671369.534881
335,628298.249986,-671347.260643
336,628309.675191,-671324.867448
337,628321.257188,-671302.533543
338,628332.014719,-671279.819983
339,628342.589633,-671257.023479
340,628352.905737,-671234.113573
341,628362.932035,-671211.081488
342,628372.656601,-671187.927296
343,628382.067261,-671164.65176
344,628391.151773,-671141.256215
345,628399.900019,-671117.743141
346,628408.305135,-671094.116472
347,628416.360551,-671070.380439
348,628424.060089,-671046.539588
349,628431.275059,-671022.562727
350,628438.085652,-670998.483676
351,628444.542574,-670974.324131
352,628450.646731,-670950.09038
353,628456.399117,-670925.788566
354,628461.920798,-670901.452177
355,628467.152741,-670877.069406
356,628472.038266,-670852.631828
357,628476.578455,-670828.144825
358,628480.774444,-670803.613612
359,628484.627424,-670779.04324
360,628488.138632,-670754.438592
361,628491.309348,-670729.804374
362,628494.140894,-670705.145116
363,628496.146356,-670680.410288
364,628498.179128,-670655.707916
365,628499.879045,-670630.996519
366,628501.252581,-670606.280187
367,628502.488602,-670581.573327
368,628503.396669,-670556.862716
369,628503.977849,-670532.151396
370,628504.233205,-670507.442221
371,628504.163791,-670482.737852
372,628503.770648,-670458.040754
373,628503.054801,-670433.353196
374,628502.017257,-670408.677242
375,628500.658999,-670384.014754
376,628498.980985,-670359.367387
377,628496.984144,-670334.736582
378,628494.683292,-670310.122247
379,628491.939432,-670285.540099
380,628489.076312,-670260.956358
381,628485.893778,-670236.390785
382,628482.392038,-670211.843935
383,628478.571274,-670187.316162
384,628474.43165,-670162.807609
385,628469.973313,-670138.318205
386,628465.196511,-670113.84763
387,628460.102307,-670089.395135
388,628454.692086,-670064.959617
389,628448.967407,-670040.540674
390,628442.930259,-670016.139895
391,628436.58281,-669991.760087
392,628429.927176,-669967.404434
393,628422.965589,-669943.077221
394,628415.700383,-669918.783747
395,628408.13396,-669894.53017
396,628400.269053,-669870.323262
397,628392.114225,-669846.168213
398,628383.683458,-669822.068371
399,628374.990917,-669798.026926
400,628366.050737,-669774.046926
401,628356.87703,-669750.131216
402,628347.483884,-669726.282376
403,628337.885367,-669702.502662
404,628328.095526,-669678.793943
405,628318.128392,-669655.157646
406,628307.997969,-669631.59469
407,628297.720498,-669608.104491
408,628287.325787,-669584.680187
409,628276.84868,-669561.312199
410,628266.323986,-669537.990459
411,628255.786492,-669514.704536
412,628245.270966,-669491.443764
413,628234.812167,-669468.19737
414,628224.444861,-669444.954599
415,628214.203822,-669421.704845
416,628204.123848,-669398.437774
417,628194.239767,-669375.143462
418,628184.58645,-669351.81251
419,628175.198816,-669328.436184
420,628166.111847,-669305.006534
421,628157.3606,-669281.516526
422,628148.980213,-669257.96017
423,628141.005924,-669234.332642
424,628133.473078,-669210.630415
425,628126.41714,-669186.851384
426,628119.873062,-669162.995167
