,x,y
482,628999.803463,-668174.642719
483,629021.904499,-668163.673668
484,629044.162942,-668152.96536
485,629066.58991,-668142.526482
486,629089.196676,-668132.36653
487,629111.994773,-668122.495997
488,629134.996076,-668112.926538
489,629158.212875,-668103.671113
490,629181.657932,-668094.744101
491,629205.344217,-668086.160701
492,629229.266437,-668077.893782
493,629253.391576,-668069.841477
494,629277.670875,-668061.895241
495,629302.040833,-668053.932415
496,629326.431243,-668045.818384
497,629350.770041,-668037.417793
498,629374.981967,-668028.596543
499,629398.987109,-668019.223592
500,629422.699405,-668009.172743
501,629446.025146,-667998.324436
502,629468.861448,-667986.567521
503,629491.266409,-667974.082409
504,629512.470707,-667959.739444
505,629533.021115,-667944.593057
506,629552.89963,-667928.69085
507,629571.37048,-667911.19836
508,629589.940367,-667894.014692
509,629607.965285,-667876.248347
510,629625.222138,-667857.629334
511,629642.117484,-667838.458453
512,629658.472091,-667818.495494
513,629674.587798,-667797.951039
514,629689.266223,-667776.126883
515,629702.776719,-667753.355413
516,629713.781857,-667729.197981
517,629723.92481,-667704.596188
518,629730.183091,-667678.678797
519,629736.391852,-667652.915682
520,629738.078755,-667626.36454
521,629741.214695,-667600.393022
522,629743.278199,-667574.427381
523,629741.038522,-667548.505007
524,629739.986708,-667522.895716
525,629736.471219,-667497.604009
526,629733.288501,-667472.360637
527,629728.635842,-667447.340405
528,629722.836284,-667422.535854
529,629714.756365,-667398.360022
530,629706.342126,-667374.313858
531,629696.548947,-667350.79069
532,629685.903562,-667327.665471
533,629673.952024,-667305.225582
534,629661.374596,-667283.224355
535,629647.931092,-667261.819418
536,629633.735049,-667240.973245
537,629619.09603,-667220.50545
538,629604.171868,-667200.295606
539,629588.6835,-667180.530501
540,629572.579446,-667161.267194
541,629556.023333,-667142.394762
542,629539.084159,-667123.862029
543,629521.778193,-667105.659065
544,629504.121174,-667087.777856
545,629486.128695,-667070.212059
546,629467.816492,-667052.956762
547,629449.200637,-667036.008261
548,629430.297678,-667019.363858
549,629411.124725,-667003.021682
550,629391.699943,-666986.98041
551,629372.038759,-666971.234578
552,629352.15081,-666955.772515
553,629332.045861,-666940.583106
554,629311.734885,-666925.656147
555,629291.230324,-666910.981551
556,629270.552494,-666896.539203
557,629249.727915,-666882.299942
558,629228.783164,-666868.23416
559,629207.744408,-666854.31262
560,629186.623377,-666840.528907
561,629165.410987,-666826.910677
562,629144.09686,-666813.488448
563,629122.67039,-666800.292278
564,629101.119988,-666787.35125
565,629079.432262,-666774.693068
566,629057.591149,-666762.343724
567,629035.57701,-666750.327179
568,629013.365745,-666738.66498
569,628990.933726,-666727.3669
570,628968.327314,-666716.325644
571,628945.645266,-666705.353658
572,628922.99114,-666694.262968
573,628900.474087,-666682.868665
574,628878.21031,-666670.991316
575,628856.317177,-666658.468871
576,628834.913363,-666645.158826
577,628814.128048,-666630.928758
578,628794.102852,-666615.657315
579,628774.97087,-666599.26068
580,628757.649344,-666580.85187
581,628741.205273,-666561.591136
582,628725.558235,-666541.629059
583,628710.430166,-666521.271857
584,628697.727963,-666498.901777
585,628683.735549,-666477.794534
586,628669.989154,-666456.559125
587,628656.355048,-666435.291973
588,628642.786566,-666414.003965
589,628629.427082,-666392.579127
590,628616.154498,-666371.077181
591,628602.883119,-666349.514363
592,628589.893386,-666327.708762
593,628576.517153,-666305.94781
594,628564.572146,-666283.385586
595,628553.169859,-666260.465548
596,628542.437114,-666237.145899
597,628531.512792,-666213.680614
598,628522.398258,-666189.475352
599,628514.377465,-666164.810992
600,628507.61594,-666139.701495
601,628502.803219,-666114.123105
602,628499.562514,-666088.243217
603,628497.836028,-666062.15073
604,628501.209304,-666036.003216
605,628504.306308,-666010.008768
606,628508.63604,-665984.18601
607,628518.725585,-665959.367004
608,628526.253488,-665934.465605
609,628538.192957,-665910.815551
610,628547.524878,-665886.76267
611,628557.292246,-665862.924483
612,628567.838903,-665839.412735
613,628579.097093,-665816.229491
614,628592.303916,-665794.00493
615,628605.002328,-665771.64803
616,628618.209159,-665749.62762
617,628631.633721,-665727.793382
618,628645.565251,-665706.334362
619,628660.024985,-665685.30879
620,628675.047751,-665664.796495
621,628690.447665,-665644.710123
622,628706.22922,-665625.095742
623,628722.396297,-665606.00502
624,628738.951529,-665587.493319
625,628755.913627,-665569.587632
626,628773.143309,-665552.091204
627,628790.712308,-665535.032641
628,628808.728579,-665518.516434
629,628827.174673,-665502.516645
630,628846.030969,-665487.008187
631,628865.276657,-665471.966286
632,628884.890773,-665457.366056
633,628904.85329,-665443.182247
634,628925.146295,-665429.389214
635,628945.755238,-665415.961103
636,628966.670271,-665402.872218
637,628987.887615,-665390.097453
638,629009.41095,-665377.612617
639,629031.245714,-665365.383412
640,629053.370416,-665353.319408
641,629075.759302,-665341.310798
642,629098.37451,-665329.256106
643,629121.135335,-665317.066936
644,629143.943473,-665304.646291
645,629166.693732,-665291.893017
646,629189.278142,-665278.709595
647,629211.590797,-665265.010181
648,629233.524295,-665250.716858
649,629256.583867,-665237.612615
650,629277.196118,-665221.587891
651,629297.167834,-665204.891918
652,629316.420276,-665187.512063
653,629334.87397,-665169.440204
654,629352.861165,-665151.02346
655,629369.167899,-665131.29381
656,629384.540781,-665110.993416
657,629398.132528,-665089.609232
658,629410.7884,-665067.844553
659,629422.348434,-665045.662151
660,629431.38392,-665022.4429
661,629440.719261,-664999.631333
662,629448.986814,-664976.513262
663,629453.925693,-664952.392413
664,629459.726784,-664928.739056
665,629464.988561,-664904.989262
666,629469.226566,-664881.01404
667,629470.109972,-664856.513349
668,629472.013244,-664832.234037
669,629473.482857,-664807.873529
670,629474.105915,-664783.389441
671,629473.813362,-664758.801193
672,629472.64326,-664734.135945
673,629469.186178,-664709.530461
674,629466.645891,-664684.799278
675,629463.415513,-664660.027472
676,629459.388089,-664635.250802
677,629454.581494,-664610.495214
678,629449.014189,-664585.786396
679,629442.705128,-664561.149723
680,629435.714307,-664536.598127
681,629427.70917,-664512.267984
682,629419.419116,-664487.957821
683,629410.435344,-664463.821812
684,629400.777407,-664439.886374
685,629390.46475,-664416.177637
686,629379.516552,-664392.721535
687,629367.951586,-664369.543931
688,629355.248773,-664346.965383
689,629342.193556,-664324.621041
690,629328.84742,-664302.487926
691,629314.94169,-664280.750115
692,629300.493622,-664259.435602
693,629285.522468,-664238.571087
694,629270.052373,-664218.179409
695,629253.491947,-664198.780442
696,629236.818329,-664179.664402
697,629219.745029,-664161.087916
698,629202.297791,-664143.066705
699,629184.500408,-664125.615324
700,629166.364391,-664108.736829
701,629148.004394,-664092.289508
