Fault 10,1755,6647,1385.597136,0,0
Fault 10,1755,6644,1557.353943,0,1
Fault 10,1755,6643,1672.425821,0,2
Fault 10,1755,6640,1791.069284,0,3
Fault 10,1750,6646,1291.893044,1,0
Fault 10,1750,6639,1728.996726,1,1
Fault 10,1750,6635,1897.683146,1,2
Fault 10,1745,6648,1238.362477,2,0
Fault 10,1745,6639,1685.65487,2,1
Fault 10,1745,6632,1961.232642,2,2
Fault 10,1745,6625,2191.828575,2,3
Fault 10,1745,6621,2352.250665,2,4
Fault 10,1740,6647,1206.190255,3,0
Fault 10,1740,6643,1416.38388,3,1
Fault 10,1740,6637,1695.418524,3,2
Fault 10,1740,6631,1924.832941,3,3
Fault 10,1740,6625,2176.718375,3,4
Fault 10,1740,6617,2397.64614,3,5
Fault 10,1735,6647,1211.708212,4,0
Fault 10,1735,6640,1534.039881,4,1
Fault 10,1735,6634,1817.696109,4,2
Fault 10,1735,6624,2103.95695,4,3
Fault 10,1735,6620,2312.917134,4,4
Fault 10,1735,6614,2505.204175,4,5
Fault 10,1730,6647,1209.102013,5,0
Fault 10,1730,6642,1417.04778,5,1
Fault 10,1730,6638,1615.306533,5,2
Fault 10,1730,6630,1956.210328,5,3
Fault 10,1730,6622,2225.05242,5,4
Fault 10,1730,6612,2516.706837,5,5
Fault 10,1710,6639,1520.220771,6,0
Fault 10,1710,6628,1902.595469,6,1
Fault 10,1710,6620,2230.367214,6,2
Fault 11,1745,6654,1763.380101,0,0
Fault 11,1745,6645,2067.598539,0,1
Fault 11,1745,6641,2225.847883,0,2
Fault 11,1750,6663,1413.161538,1,0
Fault 11,1750,6654,1802.021906,1,1
Fault 11,1750,6647,2088.216445,1,2
Fault 11,1750,6641,2330.339425,1,3
Fault 11,1755,6667,1258.625454,2,0
Fault 11,1755,6661,1500.472848,2,1
Fault 11,1755,6657,1721.165407,2,2
Fault 11,1755,6652,1968.558965,2,3
Fault 11,1755,6642,2282.48115,2,4
Fault 11,1755,6636,2461.378496,2,5
Fault 11,1760,6670,1164.798251,3,0
Fault 11,1760,6663,1566.010868,3,1
Fault 11,1760,6658,1784.763059,3,2
Fault 11,1760,6652,2002.280624,3,3
Fault 11,1760,6643,2281.645369,3,4
Fault 11,1760,6636,2507.804664,3,5
Fault 11,1765,6670,1229.434262,4,0
